call_id,utterance_no,speaker,text,hits,idx
9a6cb7d2-c697-43a0-8cad-4194dfb44c92,11,agent,"Well, you better get your shit together and stop dodging this. It's pathetic!","[{'type': 'word', 'start': 26, 'end': 30, 'substr': 'shit'}]",10
9a6cb7d2-c697-43a0-8cad-4194dfb44c92,15,agent,Professional? You think I give a damn about being professional with a deadbeat like you?,"[{'type': 'word', 'start': 33, 'end': 37, 'substr': 'damn'}]",14
a76b5b3b-4e50-4e54-9a9e-9bbf6454f743,8,customer,Settle it? You must be out of your mind if you think I'm paying you a damn cent!,"[{'type': 'word', 'start': 70, 'end': 74, 'substr': 'damn'}]",7
ab6ec93c-09e1-4b88-8777-574ceb28cd05,2,customer,What the hell do you want? I don’t have time for your crap!,"[{'type': 'word', 'start': 54, 'end': 58, 'substr': 'crap'}]",1
ab6ec93c-09e1-4b88-8777-574ceb28cd05,10,customer,I don't have the damn money right now!,"[{'type': 'word', 'start': 17, 'end': 21, 'substr': 'damn'}]",9
b155951b-086d-4f20-8fb5-de3e42253ce6,4,customer,Help? What a joke! You people are the worst! I don’t owe you a damn thing!,"[{'type': 'word', 'start': 63, 'end': 67, 'substr': 'damn'}]",3
b70866a2-2f46-4784-992b-74d6dc60806e,12,customer,"You’re really pissing me off with this shit! Fine, it’s 12345!","[{'type': 'word', 'start': 39, 'end': 43, 'substr': 'shit'}]",11
b70866a2-2f46-4784-992b-74d6dc60806e,14,customer,I’m not paying a damn thing today!,"[{'type': 'word', 'start': 17, 'end': 21, 'substr': 'damn'}]",13
b8628a31-ef89-4218-b2a2-3058dbc4b106,2,customer,What the hell do you want? I'm not in the mood for this crap!,"[{'type': 'word', 'start': 56, 'end': 60, 'substr': 'crap'}]",1
b8628a31-ef89-4218-b2a2-3058dbc4b106,10,customer,I don’t have to pay a damn thing! You can go to hell!,"[{'type': 'word', 'start': 22, 'end': 26, 'substr': 'damn'}]",9
bf973b43-76ec-41a6-af68-a3b4bc4b69b3,9,agent,"I’ll talk however I want! This is a serious matter, you need to get your shit together.","[{'type': 'word', 'start': 73, 'end': 77, 'substr': 'shit'}]",8
bf973b43-76ec-41a6-af68-a3b4bc4b69b3,15,agent,Go ahead! I don’t give a damn! You think I’m scared of complaints?,"[{'type': 'word', 'start': 25, 'end': 29, 'substr': 'damn'}]",14
c67274cc-d920-467a-80cc-476c9dd280d4,5,agent,Great! You've got an outstanding balance of $500. When are you gonna pay this shit off?,"[{'type': 'word', 'start': 78, 'end': 82, 'substr': 'shit'}]",4
d071bb49-40f8-4bae-8c6d-cfc0d4a011d5,4,customer,You can shove it! I'm not paying a damn thing!,"[{'type': 'word', 'start': 35, 'end': 39, 'substr': 'damn'}]",3
d071bb49-40f8-4bae-8c6d-cfc0d4a011d5,6,customer,I don't give a crap about your stupid questions!,"[{'type': 'word', 'start': 15, 'end': 19, 'substr': 'crap'}]",5
d3ee9bf9-cf64-468a-83da-fac5c6fb7a41,10,customer,You think I give a damn about your plans? I’m not paying a penny!,"[{'type': 'word', 'start': 19, 'end': 23, 'substr': 'damn'}]",9
d6a3e0da-171f-4744-ba2b-7298f2604e7f,8,customer,I don’t have time for this crap! I’m not paying anything!,"[{'type': 'word', 'start': 27, 'end': 31, 'substr': 'crap'}]",7
d7bbea61-d739-43fb-a198-ced1b59f9491,4,customer,Why the fuck would I give you anything? You're just some low-life calling me!,"[{'type': 'word', 'start': 8, 'end': 12, 'substr': 'fuck'}]",3
d7bbea61-d739-43fb-a198-ced1b59f9491,6,customer,Settle this? You guys are a bunch of crooks! I don't owe you shit!,"[{'type': 'word', 'start': 61, 'end': 65, 'substr': 'shit'}]",5
d7bbea61-d739-43fb-a198-ced1b59f9491,8,customer,Fuck you! You think I'm gonna pay you just because you say so?,"[{'type': 'word', 'start': 0, 'end': 4, 'substr': 'Fuck'}]",7
e0a8f9d2-92d6-4093-bb97-82182c6e850f,5,agent,"Alright, you have a balance of $1,200. It's time to settle this shit. How are you going to pay today?","[{'type': 'word', 'start': 64, 'end': 68, 'substr': 'shit'}]",4
e0a8f9d2-92d6-4093-bb97-82182c6e850f,7,agent,"Calmly? Seriously? You owe us money, and you're talking about 'calmly'? Just get your shit together and pay up!","[{'type': 'word', 'start': 86, 'end': 90, 'substr': 'shit'}]",6
e0a8f9d2-92d6-4093-bb97-82182c6e850f,13,agent,"You're wasting my time. Just give me a damn date when you'll pay, or I’ll escalate this further!","[{'type': 'word', 'start': 39, 'end': 43, 'substr': 'damn'}]",12
e835306a-d904-4271-8a11-5a50ce98ed90,2,customer,What the hell do you want? I've had enough of your crap!,"[{'type': 'word', 'start': 51, 'end': 55, 'substr': 'crap'}]",1
e835306a-d904-4271-8a11-5a50ce98ed90,8,customer,I’m not paying you a damn thing! You can't make me!,"[{'type': 'word', 'start': 21, 'end': 25, 'substr': 'damn'}]",7
